MAPbCl3,Li,-1.331,-0.648,-0.153,3.215,0.532,2.178,1.41E-02,3.60E-03,2.90E-02,2.19E-03,3.33E-02,2.55E-02,3.74E-02,1.88E-02,1.98E-02,2.30E-03,8.96E-03,1.14E-02,-0.025,-0.02,0.017,0.031,0.034,0.036,0.034,0.038,0.038,0.041,0.029,1.18E-03
MAPbCl3,Be,-1.626,-0.789,2.771,3.294,0.355,0.151,1.41E-02,7.20E-03,1.72E-02,2.85E-03,2.44E-02,4.42E-02,2.70E-02,-7.53E-02,3.17E-02,3.06E-03,1.79E-02,2.29E-02,-0.02,0.067,0.002,-0.001,0.041,0.029,0.039,0.039,0.037,0.041,0.033,1.30E-03
MAPbBrCl,Li,-1.547,-0.779,0.034,3.14,0.693,2.209,1.41E-02,3.60E-03,2.90E-02,2.19E-03,3.33E-02,2.55E-02,3.74E-02,1.88E-02,1.98E-02,2.30E-03,8.96E-03,1.14E-02,-0.022,-0.018,0.016,0.029,0.035,0.037,0.035,0.038,0.037,0.039,0.032,1.75E-03
MAPbCl3,B,-1.486,0.451,1.874,2.643,4.562,4.141,1.41E-02,4.68E-02,8.79E-03,3.41E-03,2.22E-02,3.93E-02,2.36E-02,8.47E-03,4.11E-02,3.83E-03,2.69E-02,3.43E-02,0.053,0.058,0.046,0.031,0.037,0.036,0.036,0.037,0.039,0.039,0.031,1.83E-03
MAPbBrCl,Be,-1.7,-0.5,2.594,3.255,2.749,2.725,1.41E-02,7.20E-03,1.72E-02,2.85E-03,2.44E-02,4.42E-02,2.70E-02,-7.53E-02,3.17E-02,3.06E-03,1.79E-02,2.29E-02,-0.014,0.065,0.002,0,0.041,0.033,0.039,0.038,0.036,0.038,0.036,1.99E-03
MAPbBr3,Li,-1.102,-0.491,0.223,2.785,1.127,2.499,1.41E-02,3.60E-03,2.90E-02,2.19E-03,3.33E-02,2.55E-02,3.74E-02,1.88E-02,1.98E-02,2.30E-03,8.96E-03,1.14E-02,-0.019,-0.015,0.015,0.026,0.036,0.038,0.037,0.038,0.036,0.037,0.034,2.32E-03
MAPbCl3,C,-1.142,-0.167,1.991,3.478,3.749,6.463,1.41E-02,5.04E-02,6.12E-03,3.79E-03,2.08E-02,5.33E-02,2.19E-02,3.84E-02,5.14E-02,4.60E-03,3.59E-02,4.57E-02,-0.028,-0.016,0.089,0.098,0.033,0.034,0.031,0.038,0.039,0.038,0.032,2.40E-03
MAPbCl3,N,-1.329,-0.521,0.037,0.811,3.747,3.992,1.41E-02,5.40E-02,6.54E-02,4.42E-03,2.03E-02,6.89E-02,2.22E-02,-2.20E-03,6.13E-02,5.36E-03,4.48E-02,3.43E-02,-0.027,-0.022,0.052,0.042,0.038,0.03,0.032,0.039,0.037,0.039,0.031,2.44E-03
MAPbBrCl,B,-1.368,-0.048,1.845,2.905,4.55,4.349,1.41E-02,4.68E-02,8.79E-03,3.41E-03,2.22E-02,3.93E-02,2.36E-02,8.47E-03,4.11E-02,3.83E-03,2.69E-02,3.43E-02,0.052,0.055,0.041,0.033,0.038,0.037,0.037,0.037,0.037,0.037,0.035,2.66E-03
MAPbBr3,Be,-0.911,-1.197,2.8,2.8,1.493,1.415,1.41E-02,7.20E-03,1.72E-02,2.85E-03,2.44E-02,4.42E-02,2.70E-02,-7.53E-02,3.17E-02,3.06E-03,1.79E-02,2.29E-02,-0.008,0.062,0.002,0.001,0.041,0.036,0.039,0.036,0.035,0.035,0.04,2.68E-03
MAPbCl3,O,-0.806,-0.716,-0.029,1.321,3.084,6.58,1.41E-02,5.76E-02,5.35E-02,5.05E-03,1.98E-02,6.45E-02,1.76E-02,4.43E-02,6.94E-02,6.13E-03,1.79E-02,2.29E-02,-0.007,-0.002,0.023,0.056,0.036,0.043,0.033,0.032,0.038,0.034,0.038,2.96E-03
MAPbI3,Li,-1.3,-0.532,0.108,2.597,0.661,1.679,1.41E-02,3.60E-03,2.90E-02,2.19E-03,3.33E-02,2.55E-02,3.74E-02,1.88E-02,1.98E-02,2.30E-03,8.96E-03,1.14E-02,0.01,0.008,0.008,0.017,0.04,0.041,0.037,0.038,0.038,0.045,0.04,3.11E-03
MAPbCl3,F,-0.376,-0.648,0.081,0.234,1.783,4.662,1.41E-02,6.12E-02,5.08E-02,6.00E-03,1.95E-02,8.25E-02,1.74E-02,1.03E-01,8.02E-02,6.89E-03,8.96E-03,1.14E-02,-0.027,-0.022,0.037,0.059,0.037,0.037,0.034,0.038,0.039,0.04,0.032,3.29E-03
